data,estado,arrecadacao
2005-08-01,PA,143.567316
2005-08-01,PB,69.151329
2005-08-01,PE,356.296836
2005-08-01,PI,31.293072
2005-08-01,PR,1172.907645
2005-08-01,RJ,5194.127652
2005-08-01,RN,74.609644
2005-08-01,RO,31.682194
2005-08-01,RR,8.638097
2005-08-01,RS,1367.154396
2005-08-01,SC,615.698668
2005-08-01,SE,54.051138
2005-08-01,SP,11906.294434
2005-08-01,TO,22.008966
2005-09-01,AC,10.292663
2005-09-01,AL,46.725489
2005-09-01,AM,346.290971
2005-09-01,AP,11.266084
2005-09-01,BA,766.068096
2005-09-01,CE,226.185131
2005-09-01,DF,2779.611353
2005-09-01,ES,554.468219
2005-09-01,GO,211.733166
2005-09-01,MA,124.204309
2005-09-01,MG,1598.925049
2005-09-01,MS,86.874441
2005-09-01,MT,110.204796
2005-09-01,PA,131.694459
2005-09-01,PB,63.659917
2005-09-01,PE,354.35974
2005-09-01,PI,38.540111
2005-09-01,PR,1082.627281
2005-09-01,RJ,5295.987636
2005-09-01,RN,68.228222
2005-09-01,RO,30.814529
2005-09-01,RR,8.173651
2005-09-01,RS,1322.710874
2005-09-01,SC,662.534617
2005-09-01,SE,54.608821
2005-09-01,SP,11586.060238
2005-09-01,TO,18.124151
2005-10-01,AC,11.788067
2005-10-01,AL,47.768453
2005-10-01,AM,329.212745
2005-10-01,AP,11.095198
2005-10-01,BA,651.380533
2005-10-01,CE,288.373299
2005-10-01,DF,2848.799857
2005-10-01,ES,577.901404
2005-10-01,GO,245.289104
2005-10-01,MA,98.905498
2005-10-01,MG,1562.567541
2005-10-01,MS,89.218087
2005-10-01,MT,114.760649
2005-10-01,PA,144.211044
2005-10-01,PB,72.027829
2005-10-01,PE,408.765769
2005-10-01,PI,41.451433
2005-10-01,PR,1194.945073
2005-10-01,RJ,6170.488182
2005-10-01,RN,73.384226
2005-10-01,RO,35.721745
2005-10-01,RR,9.208119
2005-10-01,RS,1401.737647
2005-10-01,SC,777.87008
2005-10-01,SE,52.759748
2005-10-01,SP,12288.049425
2005-10-01,TO,22.576328
2005-11-01,AC,11.13718
2005-11-01,AL,43.183425
2005-11-01,AM,364.143997
2005-11-01,AP,13.762897
2005-11-01,BA,569.302271
2005-11-01,CE,253.268821
2005-11-01,DF,2973.053102
2005-11-01,ES,507.642989
2005-11-01,GO,201.624261
2005-11-01,MA,92.517788
2005-11-01,MG,1486.697338
2005-11-01,MS,83.060185
2005-11-01,MT,99.957801
2005-11-01,PA,135.512201
2005-11-01,PB,64.138702
2005-11-01,PE,390.711133
2005-11-01,PI,38.873786
2005-11-01,PR,1155.941261
2005-11-01,RJ,6319.557541
2005-11-01,RN,68.259968
2005-11-01,RO,38.067745
2005-11-01,RR,9.629299
2005-11-01,RS,1428.250583
2005-11-01,SC,730.316538
2005-11-01,SE,52.614108
2005-11-01,SP,11788.812178
2005-11-01,TO,18.39448
2005-12-01,AC,9.629651
2005-12-01,AL,46.212586
2005-12-01,AM,427.784702
2005-12-01,AP,10.850073
2005-12-01,BA,707.315684
2005-12-01,CE,263.438617
2005-12-01,DF,3761.004377
2005-12-01,ES,590.005958
2005-12-01,GO,236.473114
2005-12-01,MA,161.190525
2005-12-01,MG,1703.932822
2005-12-01,MS,88.081796
2005-12-01,MT,139.573266
2005-12-01,PA,136.887351
2005-12-01,PB,87.268088
2005-12-01,PE,418.998233
2005-12-01,PI,45.001912
2005-12-01,PR,1501.985865
2005-12-01,RJ,6905.094826
2005-12-01,RN,80.576674
2005-12-01,RO,34.362819
2005-12-01,RR,9.161958
2005-12-01,RS,1747.35193
2005-12-01,SC,730.863929
2005-12-01,SE,54.854323
2005-12-01,SP,16277.562784
2005-12-01,TO,36.730439
2006-01-01,AC,18.444573
2006-01-01,AL,61.061275
2006-01-01,AM,371.497703
2006-01-01,AP,16.84807
2006-01-01,BA,702.335963
2006-01-01,CE,297.316404
2006-01-01,DF,2627.447475
2006-01-01,ES,628.995775
2006-01-01,GO,262.119369
2006-01-01,MA,120.407036
2006-01-01,MG,2183.656999
2006-01-01,MS,92.002839
2006-01-01,MT,110.062667
2006-01-01,PA,157.793641
2006-01-01,PB,84.859754
2006-01-01,PE,410.934683
2006-01-01,PI,43.492311
2006-01-01,PR,1540.571444
2006-01-01,RJ,5540.998128
2006-01-01,RN,86.289051
2006-01-01,RO,49.17243
2006-01-01,RR,10.960527
2006-01-01,RS,1623.211911
2006-01-01,SC,840.981262
2006-01-01,SE,62.39445
2006-01-01,SP,13283.032599
2006-01-01,TO,29.585901
2006-02-01,AC,8.906247
2006-02-01,AL,46.152958
2006-02-01,AM,335.97308
2006-02-01,AP,9.572537
2006-02-01,BA,671.742759
2006-02-01,CE,207.200108
2006-02-01,DF,2656.208965
2006-02-01,ES,473.19875
2006-02-01,GO,225.288102
2006-02-01,MA,130.366593
2006-02-01,MG,1343.130912
2006-02-01,MS,56.374894
2006-02-01,MT,85.085386
2006-02-01,PA,144.655881
2006-02-01,PB,66.385553
2006-02-01,PE,296.947372
2006-02-01,PI,35.541631
2006-02-01,PR,970.299933
2006-02-01,RJ,5574.800682
2006-02-01,RN,66.871921
2006-02-01,RO,25.427117
2006-02-01,RR,6.395819
2006-02-01,RS,1284.547525
2006-02-01,SC,620.206119
2006-02-01,SE,49.103613
2006-02-01,SP,11207.619436
2006-02-01,TO,16.677312
2006-03-01,AC,9.548745
2006-03-01,AL,44.685886
2006-03-01,AM,470.518072
2006-03-01,AP,9.261694
2006-03-01,BA,668.365539
2006-03-01,CE,240.222881
2006-03-01,DF,2672.72695
2006-03-01,ES,504.407855
2006-03-01,GO,209.715287
2006-03-01,MA,146.184116
2006-03-01,MG,1680.204241
2006-03-01,MS,71.198299
2006-03-01,MT,102.473272
