data,indice_dez93,no_mes,3_meses,6_meses,no_ano,12_meses
2010-07-01,3111.05,0.01,0.44,2.33,3.1,4.6
2010-08-01,3112.29,0.04,0.05,1.58,3.14,4.49
2010-09-01,3126.29,0.45,0.5,1.51,3.6,4.7
2010-10-01,3149.74,0.75,1.24,1.69,4.38,5.2
2010-11-01,3175.88,0.83,2.04,2.09,5.25,5.63
2010-12-01,3195.89,0.63,2.23,2.74,5.91,5.91
2011-01-01,3222.42,0.83,2.31,3.58,0.83,5.99
2011-02-01,3248.2,0.8,2.28,4.37,1.64,6.01
2011-03-01,3273.86,0.79,2.44,4.72,2.44,6.3
2011-04-01,3299.07,0.77,2.38,4.74,3.23,6.51
2011-05-01,3314.58,0.47,2.04,4.37,3.71,6.55
2011-06-01,3319.55,0.15,1.4,3.87,3.87,6.71
2011-07-01,3324.86,0.16,0.78,3.18,4.04,6.87
2011-08-01,3337.16,0.37,0.68,2.74,4.42,7.23
2011-09-01,3354.85,0.53,1.06,2.47,4.97,7.31
2011-10-01,3369.28,0.43,1.34,2.13,5.43,6.97
2011-11-01,3386.8,0.52,1.49,2.18,5.97,6.64
2011-12-01,3403.73,0.5,1.46,2.54,6.5,6.5
2012-01-01,3422.79,0.56,1.59,2.95,0.56,6.22
2012-02-01,3438.19,0.45,1.52,3.03,1.01,5.85
2012-03-01,3445.41,0.21,1.22,2.7,1.22,5.24
2012-04-01,3467.46,0.64,1.31,2.91,1.87,5.1
2012-05-01,3479.94,0.36,1.21,2.75,2.24,4.99
2012-06-01,3482.72,0.08,1.08,2.32,2.32,4.92
2012-07-01,3497.7,0.43,0.87,2.19,2.76,5.2
2012-08-01,3512.04,0.41,0.92,2.15,3.18,5.24
2012-09-01,3532.06,0.57,1.42,2.51,3.77,5.28
2012-10-01,3552.9,0.59,1.58,2.46,4.38,5.45
2012-11-01,3574.22,0.6,1.77,2.71,5.01,5.53
2012-12-01,3602.46,0.79,1.99,3.44,5.84,5.84
2013-01-01,3633.44,0.86,2.27,3.88,0.86,6.15
2013-02-01,3655.24,0.6,2.27,4.08,1.47,6.31
2013-03-01,3672.42,0.47,1.94,3.97,1.94,6.59
2013-04-01,3692.62,0.55,1.63,3.93,2.5,6.49
2013-05-01,3706.28,0.37,1.4,3.69,2.88,6.5
2013-06-01,3715.92,0.26,1.18,3.15,3.15,6.7
2013-07-01,3717.03,0.03,0.66,2.3,3.18,6.27
2013-08-01,3725.95,0.24,0.53,1.93,3.43,6.09
2013-09-01,3738.99,0.35,0.62,1.81,3.79,5.86
2013-10-01,3760.3,0.57,1.16,1.83,4.38,5.84
2013-11-01,3780.61,0.54,1.47,2.01,4.95,5.77
2013-12-01,3815.39,0.92,2.04,2.68,5.91,5.91
2014-01-01,3836.37,0.55,2.02,3.21,0.55,5.59
2014-02-01,3862.84,0.69,2.18,3.67,1.24,5.68
2014-03-01,3898.38,0.92,2.18,4.26,2.18,6.15
2014-04-01,3924.5,0.67,2.3,4.37,2.86,6.28
2014-05-01,3942.55,0.46,2.06,4.28,3.33,6.37
2014-06-01,3958.32,0.4,1.54,3.75,3.75,6.52
2014-07-01,3958.72,0.01,0.87,3.19,3.76,6.5
2014-08-01,3968.62,0.25,0.66,2.74,4.02,6.51
2014-09-01,3991.24,0.57,0.83,2.38,4.61,6.75
2014-10-01,4008.0,0.42,1.24,2.13,5.05,6.59
2014-11-01,4028.44,0.51,1.51,2.18,5.58,6.56
2014-12-01,4059.86,0.78,1.72,2.57,6.41,6.41
2015-01-01,4110.2,1.24,2.55,3.83,1.24,7.14
2015-02-01,4160.34,1.22,3.27,4.83,2.48,7.7
2015-03-01,4215.26,1.32,3.83,5.61,3.83,8.13
2015-04-01,4245.19,0.71,3.28,5.92,4.56,8.17
2015-05-01,4276.6,0.74,2.79,6.16,5.34,8.47
2015-06-01,4310.39,0.79,2.26,6.17,6.17,8.89
2015-07-01,4337.11,0.62,2.17,5.52,6.83,9.56
2015-08-01,4346.65,0.22,1.64,4.48,7.06,9.53
2015-09-01,4370.12,0.54,1.39,3.67,7.64,9.49
2015-10-01,4405.95,0.82,1.59,3.79,8.52,9.93
2015-11-01,4450.45,1.01,2.39,4.07,9.62,10.48
2015-12-01,4493.17,0.96,2.82,4.24,10.67,10.67
2016-01-01,4550.23,1.27,3.27,4.91,1.27,10.71
2016-02-01,4591.18,0.9,3.16,5.63,2.18,10.36
2016-03-01,4610.92,0.43,2.62,5.51,2.62,9.39
2016-04-01,4639.05,0.61,1.95,5.29,3.25,9.28
2016-05-01,4675.23,0.78,1.83,5.05,4.05,9.32
2016-06-01,4691.59,0.35,1.75,4.42,4.42,8.84
2016-07-01,4715.99,0.52,1.66,3.64,4.96,8.74
2016-08-01,4736.74,0.44,1.32,3.17,5.42,8.97
2016-09-01,4740.53,0.08,1.04,2.81,5.51,8.48
2016-10-01,4752.86,0.26,0.78,2.45,5.78,7.87
2016-11-01,4761.42,0.18,0.52,1.84,5.97,6.99
2016-12-01,4775.7,0.3,0.74,1.79,6.29,6.29
2017-01-01,4793.85,0.38,0.86,1.65,0.38,5.35
2017-02-01,4809.67,0.33,1.01,1.54,0.71,4.76
2017-03-01,4821.69,0.25,0.96,1.71,0.96,4.57
2017-04-01,4828.44,0.14,0.72,1.59,1.1,4.08
2017-05-01,4843.41,0.31,0.7,1.72,1.42,3.6
2017-06-01,4832.27,-0.23,0.22,1.18,1.18,3
2017-07-01,4843.87,0.24,0.32,1.04,1.43,2.71
2017-08-01,4853.07,0.19,0.2,0.9,1.62,2.46
2017-09-01,4860.83,0.16,0.59,0.81,1.78,2.54
2017-10-01,4881.25,0.42,0.77,1.09,2.21,2.7
2017-11-01,4894.92,0.28,0.86,1.06,2.5,2.8
2017-12-01,4916.46,0.44,1.14,1.74,2.95,2.95
2018-01-01,4930.72,0.29,1.01,1.79,0.29,2.86
2018-02-01,4946.5,0.32,1.05,1.93,0.61,2.84
2018-03-01,4950.95,0.09,0.7,1.85,0.7,2.68
2018-04-01,4961.84,0.22,0.63,1.65,0.92,2.76
2018-05-01,4981.69,0.4,0.71,1.77,1.33,2.86
2018-06-01,5044.46,1.26,1.89,2.6,2.6,4.39
2018-07-01,5061.11,0.33,2,2.64,2.94,4.48
2018-08-01,5056.56,-0.09,1.5,2.23,2.85,4.19
2018-09-01,5080.83,0.48,0.72,2.62,3.34,4.53
2018-10-01,5103.69,0.45,0.84,2.86,3.81,4.56
2018-11-01,5092.97,-0.21,0.72,2.23,3.59,4.05
2018-12-01,5100.61,0.15,0.39,1.11,3.75,3.75
2019-01-01,5116.93,0.32,0.26,1.1,0.32,3.78
2019-02-01,5138.93,0.43,0.9,1.63,0.75,3.89
2019-03-01,5177.47,0.75,1.51,1.9,1.51,4.58
2019-04-01,5206.98,0.57,1.76,2.02,2.09,4.94
2019-05-01,5213.75,0.13,1.46,2.37,2.22,4.66
2019-06-01,5214.27,0.01,0.71,2.23,2.23,3.37
2019-07-01,5224.18,0.19,0.33,2.1,2.42,3.22
2019-08-01,5229.93,0.11,0.31,1.77,2.54,3.43
2019-09-01,5227.84,-0.04,0.26,0.97,2.49,2.89
2019-10-01,5233.07,0.1,0.17,0.5,2.6,2.54
2019-11-01,5259.76,0.51,0.57,0.88,3.12,3.27
2019-12-01,5320.25,1.15,1.77,2.03,4.31,4.31
